Valores de variáveis;;;;;
Nome;Descrição;Nível de medição;Catergoria;Descrição da categoria;Tamanho
;;;3209;TV SIM (Linhares);
;;;3210;TV Sul;
;;;3211;TV Tribuna (SBT);
;;;3212;TV Vitória (Record);
;;;3303;Canal Futura;
;;;3304;ECO TV;
;;;3306;Master TV;
;;;3307;Rede Grande Rio;
;;;3308;Rio TV Câmara;
;;;3309;TV Alerj;
;;;3310;TV Barra Leste;
;;;3311;TV Brasil (RJ);
;;;3312;TV COM;
;;;3314;TV Continental;
;;;3315;TV Corcovado;
;;;3316;TV Excelsior;
;;;3317;TV Itaperuna;
;;;3318;TV Macaé;
;;;3319;TV Manchete;
;;;3320;TV O Dia;
;;;3321;TV Obrac;
;;;3322;TV Passaponte;
;;;3323;TV Rio (RJ);
;;;3324;TV Rio Sul (GLOBO);
;;;3325;TV ROC;
;;;3326;TV Tupi;
;;;3327;TV Vila Imperial;
;;;3328;TV Volta Redonda;
;;;3329;TVC Nova Friburgo;
;;;3330;UTV;
;;;3500;Boa Vontade TV;
;;;3501;Canal 21 (SP);
;;;3502;ITV;
;;;3503;ITV Brasil;
;;;3504;Mega TV (SP);
;;;3505;Nova TV;
;;;3506;Oeste TV;
;;;3507;RBTV São Paulo;
;;;3508;Rede ABC de Comunicações;
;;;3509;Rede Gospel (SP);
;;;3510;Rede Opinião;
;;;3511;Rede Paulista;
;;;3513;Rede VTV;
;;;3514;Santa Cecília TV;
;;;3515;SEC TV;
;;;3516;SetTV;
;;;3517;Shop Tour;
;;;3518;Sistema Regional de Televisão;
;;;3519;STZ TV;
;;;3520;TCV Canal 4;
;;;3521;TV Abril (Ideal TV);
;;;3522;TV Aldeia (SP);
;;;3523;TV Alesp;
;;;3524;TV Aliança;
;;;3525;TV Altiora;
;;;3526;TV Ara;
;;;3527;TV Barretos;
;;;3528;TV Batatais;
;;;3529;TV Beira-Rio;
;;;3530;TV Bem;
;;;3531;TV Birigui;
;;;3532;TV Boituva;
;;;3533;TV Brasil São Paulo;
;;;3534;TV Brodowski;
;;;3537;TV Câmara em breve;
;;;3538;TV CBS;
;;;3544;TV Cidade Livre (NET);
;;;3545;TV Claret;
;;;3546;TV Clube Ribeirão;
;;;3547;TV Clube São Carlos;
;;;3548;TV Convenção;
;;;3549;TV Costa Norte (SP);
;;;3550;TV Cotia;
;;;3551;TV Cruzeiro;
;;;3553;TV Direta;
;;;3554;TV Franca;
;;;3555;TV Fronteira (Globo);
;;;3556;TV Gaivota;
;;;3557;TV Garça;
;;;3559;TV Globo São Paulo;
;;;3560;TV Ilha do Sol;
;;;3561;TV InVIP;
;;;3562;TV Japi;
;;;3563;TV Maná;
;;;3564;TV Matão;
;;;3566;TV Moura;
;;;3567;TV Mundial;
;;;3568;TV Nova Regional;
;;;3569;TV Nova São Carlos;
;;;3570;TV Onda Verde (SP);
;;;3571;TV Prevê;
;;;3572;TV RP;
;;;3573;TV Serrana;
;;;3574;TV SESI;
;;;3575;TV Sol;
;;;3576;TV Sorocaba (SBT);
;;;3577;TV Tem Bauru;
;;;3578;TV Tem Itapetininga;
;;;3579;TV Tem São José do Rio Preto;
;;;3580;TV TEM Sorocaba;
;;;3581;TV Thathi;
;;;3582;TV TodoDia;
;;;3583;TV Tribuna Santos (Globo);
;;;3584;TV UNIFEV;
;;;3585;TV Unisantos;
;;;3586;TV Vale das Artes;
;;;3587;TV Vale do Tietê;
;;;3588;TV Vanguarda São José dos Campos;
;;;3589;TV Vanguarda Taubaté;
;;;3590;TV Ypê;
;;;3591;TVB Campinas (Record);
;;;3592;TVB Santos (Band);
;;;3593;TVC Canal 2;
;;;3594;TVC Canal 2 VHF;
;;;3595;TVR;
;;;3596;TVT (SBT);
;;;3597;UNO TV;
;;;3604;Tv Itapema;
;;;4101;Canal 10;
;;;4102;Canal 21 (PR);
;;;4104;E-Paraná (Cultura);
;;;4105;Rede Super (PR);
;;;4106;RIC TV;
;;;4107;RTV (PR);
;;;4108;Stop TV;
;;;4109;TV Alvorada (PR);
;;;4110;TV Antares (PR);
;;;4111;TV Caimã;
;;;4112;TV Cesumar;
;;;4115;TV Entre-Rios;
;;;4116;TV Foz;
;;;4117;TV Interativa (PR);
;;;4118;TV Legendária;
;;;4119;TV Milenium;
;;;4120;TV Planalto (PR);
;;;4121;TV Polo Iguaçu;
;;;4122;TV Rio (PR);
